Ageing Time,C7 (Pred),C7 (Pred)*,C7 (True),AE,SE,RMSE
0,92.6,92.6,92.6,0,0,
0.224089636,92.38711485,92.38711485,92.38711485,0,0,
0.448179272,92.17422969,92.17422969,92.17422969,0,0,
0.672268908,91.96134454,91.96134454,91.96134454,0,0,
0.896358543,91.74845938,91.74845938,91.74845938,0,0,
1.120448179,91.53557423,91.53557423,91.53557423,0,0,
1.344537815,91.32268908,91.32268908,91.32268908,0,0,
1.568627451,91.10980392,91.10980392,91.10980392,0,0,
1.792717087,90.89691877,90.89691877,90.89691877,0,0,
2.016806723,90.69159664,90.69159664,90.69159664,0,0,
2.240896359,90.57955182,90.57955182,90.57955182,0,0,
2.464985994,90.467507,90.467507,90.467507,0,0,
2.68907563,90.35546218,90.35546218,90.35546218,0,0,
2.913165266,90.24341737,90.24341737,90.24341737,0,0,
3.137254902,90.13137255,90.13137255,90.13137255,0,0,
3.361344538,90.01932773,90.01932773,90.01932773,0,0,
3.585434174,89.90728291,89.90728291,89.90728291,0,0,
3.80952381,89.7952381,89.7952381,89.7952381,0,0,
4.033613445,89.68319328,89.68319328,89.68319328,0,0,
4.257703081,89.57114846,89.57114846,89.57114846,0,0,
4.481792717,89.45910364,89.45910364,89.45910364,0,0,
4.705882353,89.34705882,89.34705882,89.34705882,0,0,
4.929971989,89.23501401,89.23501401,89.23501401,0,0,
5.154061625,89.12296919,89.12296919,89.12296919,0,0,
5.378151261,89.01092437,89.01092437,89.01092437,0,0,
5.602240896,88.89887955,88.89887955,88.89887955,0,0,
5.826330532,88.78683473,88.78683473,88.78683473,0,0,
6.050420168,88.69243697,88.69243697,88.69243697,0,0,
6.274509804,88.65882353,88.65882353,88.65882353,0,0,
6.49859944,88.62521008,88.62521008,88.62521008,0,0,
6.722689076,88.59159664,88.59159664,88.59159664,0,0,
6.946778711,88.55798319,88.55798319,88.55798319,0,0,
7.170868347,88.52436975,88.52436975,88.52436975,0,0,
7.394957983,88.4907563,88.4907563,88.4907563,0,0,
7.619047619,88.45714286,88.45714286,88.45714286,0,0,
7.843137255,88.42352941,88.42352941,88.42352941,0,0,
8.067226891,88.38991597,88.38991597,88.38991597,0,0,
8.291316527,88.35630252,88.35630252,88.35630252,0,0,
8.515406162,88.32268908,88.32268908,88.32268908,0,0,
8.739495798,88.28907563,88.28907563,88.28907563,0,0,
8.963585434,88.25546218,88.25546218,88.25546218,0,0,
9.18767507,88.22184874,88.22184874,88.22184874,0,0,
9.411764706,88.18823529,88.18823529,88.18823529,0,0,
9.635854342,88.15462185,88.15462185,88.15462185,0,0,
9.859943978,88.1210084,88.1210084,88.1210084,0,0,
10.08403361,88.08739496,88.08739496,88.08739496,0,0,
10.30812325,88.05378151,88.05378151,88.05378151,0,0,
10.53221289,88.02016807,88.02016807,88.02016807,0,0,
10.75630252,87.98655462,87.98655462,87.98655462,0,0,
10.98039216,87.95294118,87.95294118,87.95294118,0,0,
11.20448179,87.91932773,87.91932773,87.91932773,0,0,
11.42857143,87.88571429,87.88571429,87.88571429,0,0,
11.65266106,87.85210084,87.85210084,87.85210084,0,0,
11.8767507,87.81848739,87.81848739,87.81848739,0,0,
12.10084034,87.78487395,87.78487395,87.78487395,0,0,
12.32492997,87.7512605,87.7512605,87.7512605,0,0,
12.54901961,87.71764706,87.71764706,87.71764706,0,0,
12.77310924,87.68403361,87.68403361,87.68403361,0,0,
12.99719888,87.65042017,87.65042017,87.65042017,0,0,
13.22128852,87.61680672,87.61680672,87.61680672,0,0,
13.44537815,87.58319328,87.58319328,87.58319328,0,0,
13.66946779,87.54957983,87.54957983,87.54957983,0,0,
13.89355742,87.51596639,87.51596639,87.51596639,0,0,
14.11764706,87.49264706,87.49264706,87.49264706,0,0,
14.34173669,87.47864146,87.47864146,87.47864146,0,0,
14.56582633,87.46463585,87.46463585,87.46463585,0,0,
14.78991597,87.45063025,87.45063025,87.45063025,0,0,
15.0140056,87.43662465,87.43662465,87.43662465,0,0,
15.23809524,87.42261905,87.42261905,87.42261905,0,0,
15.46218487,87.40861345,87.40861345,87.40861345,0,0,
15.68627451,87.39460784,87.39460784,87.39460784,0,0,
15.91036415,87.38060224,87.38060224,87.38060224,0,0,
16.13445378,87.36659664,87.36659664,87.36659664,0,0,
16.35854342,87.35259104,87.35259104,87.35259104,0,0,
16.58263305,87.33858543,87.33858543,87.33858543,0,0,
16.80672269,87.32457983,87.32457983,87.32457983,0,0,
17.03081232,87.31057423,87.31057423,87.31057423,0,0,
17.25490196,87.29656863,87.29656863,87.29656863,0,0,
17.4789916,87.28256303,87.28256303,87.28256303,0,0,
17.70308123,87.26855742,87.26855742,87.26855742,0,0,
17.92717087,87.25455182,87.25455182,87.25455182,0,0,
18.1512605,87.24054622,87.24054622,87.24054622,0,0,
18.37535014,87.22654062,87.22654062,87.22654062,0,0,
18.59943978,87.21253501,87.21253501,87.21253501,0,0,
18.82352941,87.19852941,87.19852941,87.19852941,0,0,
19.04761905,87.18452381,87.18452381,87.18452381,0,0,
19.27170868,87.17051821,87.17051821,87.17051821,0,0,
19.49579832,87.15651261,87.15651261,87.15651261,0,0,
19.71988796,87.142507,87.142507,87.142507,0,0,
19.94397759,87.1285014,87.1285014,87.1285014,0,0,
20.16806723,87.1144958,87.1144958,87.1144958,0,0,
