Ageing Time,C2 (Pred),C2 (Pred)*,C2 (True),AE,SE,RMSE
0,90.5,90.5,90.5,0,0,
0.224089636,90.27591036,90.27591036,90.27591036,4.15E-09,1.72E-17,
0.448179272,90.05182073,90.05182073,90.05182073,1.71E-09,2.92E-18,
0.672268908,89.82773109,89.82773109,89.82773109,2.44E-09,5.94E-18,
0.896358543,89.60364146,89.60364146,89.60364146,3.42E-09,1.17E-17,
1.120448179,89.37955182,89.37955182,89.37955182,7.28E-10,5.30E-19,
1.344537815,89.15546218,89.15546218,89.15546218,4.87E-09,2.38E-17,
1.568627451,88.93137255,88.93137255,88.93137255,9.80E-10,9.61E-19,
1.792717087,88.70728291,88.70728291,88.70728291,3.17E-09,1.00E-17,
2.016806723,88.49495798,88.49495798,88.49495798,3.19E-09,1.02E-17,
2.240896359,88.42773109,88.42773109,88.42773109,2.44E-09,5.94E-18,
2.464985994,88.3605042,88.3605042,88.3605042,1.68E-09,2.82E-18,
2.68907563,88.29327731,88.29327731,88.29327731,9.24E-10,8.54E-19,
2.913165266,88.22605042,88.22605042,88.22605042,1.68E-10,2.82E-20,
3.137254902,88.15882353,88.15882353,88.15882353,5.88E-10,3.46E-19,
3.361344538,88.09159664,88.09159664,88.09159664,1.34E-09,1.81E-18,
3.585434174,88.02436975,88.02436975,88.02436975,2.10E-09,4.41E-18,
3.80952381,87.95714286,87.95714286,87.95714286,2.86E-09,8.16E-18,
4.033613445,87.88991597,87.88991597,87.88991597,3.61E-09,1.31E-17,
4.257703081,87.82268908,87.82268908,87.82268908,4.37E-09,1.91E-17,
4.481792717,87.75546218,87.75546218,87.75546218,4.87E-09,2.38E-17,
4.705882353,87.68823529,87.68823529,87.68823529,4.12E-09,1.70E-17,
4.929971989,87.6210084,87.6210084,87.6210084,3.36E-09,1.13E-17,
5.154061625,87.55378151,87.55378151,87.55378151,2.61E-09,6.79E-18,
5.378151261,87.48655462,87.48655462,87.48655462,1.85E-09,3.42E-18,
5.602240896,87.41932773,87.41932773,87.41932773,1.09E-09,1.19E-18,
5.826330532,87.35210084,87.35210084,87.35210084,3.36E-10,1.13E-19,
6.050420168,87.29369748,87.29369748,87.29369748,1.01E-09,1.02E-18,
6.274509804,87.26568627,87.26568627,87.26568627,4.51E-09,2.03E-17,
6.49859944,87.23767507,87.23767507,87.23767507,2.80E-11,7.85E-22,
6.722689076,87.20966387,87.20966387,87.20966387,4.45E-09,1.98E-17,
6.946778711,87.18165266,87.18165266,87.18165266,1.06E-09,1.13E-18,
7.170868347,87.15364146,87.15364146,87.15364146,3.42E-09,1.17E-17,
7.394957983,87.12563025,87.12563025,87.12563025,2.10E-09,4.41E-18,
7.619047619,87.09761905,87.09761905,87.09761905,2.38E-09,5.67E-18,
7.843137255,87.06960784,87.06960784,87.06960784,3.14E-09,9.84E-18,
8.067226891,87.04159664,87.04159664,87.04159664,1.34E-09,1.81E-18,
8.291316527,87.01358543,87.01358543,87.01358543,4.17E-09,1.74E-17,
8.515406162,86.98557423,86.98557423,86.98557423,3.08E-10,9.50E-20,
8.739495798,86.95756303,86.95756303,86.95756303,4.79E-09,2.29E-17,
8.963585434,86.92955182,86.92955182,86.92955182,7.28E-10,5.30E-19,
9.18767507,86.90154062,86.90154062,86.90154062,3.75E-09,1.41E-17,
9.411764706,86.87352941,86.87352941,86.87352941,1.76E-09,3.11E-18,
9.635854342,86.84551821,86.84551821,86.84551821,2.72E-09,7.38E-18,
9.859943978,86.817507,86.817507,86.817507,2.80E-09,7.85E-18,
10.08403361,86.7894958,86.7894958,86.7894958,1.68E-09,2.82E-18,
10.30812325,86.76148459,86.76148459,86.76148459,3.84E-09,1.47E-17,
10.53221289,86.73347339,86.73347339,86.73347339,6.44E-10,4.15E-19,
10.75630252,86.70546218,86.70546218,86.70546218,4.87E-09,2.38E-17,
10.98039216,86.67745098,86.67745098,86.67745098,3.92E-10,1.54E-19,
11.20448179,86.64943978,86.64943978,86.64943978,4.09E-09,1.67E-17,
11.42857143,86.62142857,86.62142857,86.62142857,1.43E-09,2.04E-18,
11.65266106,86.59341737,86.59341737,86.59341737,3.05E-09,9.32E-18,
11.8767507,86.56540616,86.56540616,86.56540616,2.46E-09,6.08E-18,
12.10084034,86.53739496,86.53739496,86.53739496,2.02E-09,4.07E-18,
12.32492997,86.50938375,86.50938375,86.50938375,3.50E-09,1.23E-17,
12.54901961,86.48137255,86.48137255,86.48137255,9.80E-10,9.61E-19,
12.77310924,86.45336134,86.45336134,86.45336134,4.54E-09,2.06E-17,
12.99719888,86.42535014,86.42535014,86.42535014,5.60E-11,3.13E-21,
13.22128852,86.39733894,86.39733894,86.39733894,4.43E-09,1.96E-17,
13.44537815,86.36932773,86.36932773,86.36932773,1.09E-09,1.19E-18,
13.66946779,86.34131653,86.34131653,86.34131653,3.39E-09,1.15E-17,
13.89355742,86.31330532,86.31330532,86.31330532,2.13E-09,4.53E-18,
14.11764706,86.28676471,86.28676471,86.28676471,4.12E-09,1.70E-17,
14.34173669,86.26155462,86.26155462,86.26155462,1.85E-09,3.42E-18,
14.56582633,86.23634454,86.23634454,86.23634454,2.18E-09,4.77E-18,
14.78991597,86.21113445,86.21113445,86.21113445,3.78E-09,1.43E-17,
15.0140056,86.18592437,86.18592437,86.18592437,2.52E-10,6.36E-20,
15.23809524,86.16071429,86.16071429,86.16071429,4.29E-09,1.84E-17,
15.46218487,86.1355042,86.1355042,86.1355042,1.68E-09,2.82E-18,
15.68627451,86.11029412,86.11029412,86.11029412,2.35E-09,5.54E-18,
15.91036415,86.08508403,86.08508403,86.08508403,3.61E-09,1.31E-17,
16.13445378,86.05987395,86.05987395,86.05987395,4.20E-10,1.77E-19,
16.35854342,86.03466387,86.03466387,86.03466387,4.45E-09,1.98E-17,
16.58263305,86.00945378,86.00945378,86.00945378,1.51E-09,2.29E-18,
16.80672269,85.9842437,85.9842437,85.9842437,2.52E-09,6.36E-18,
17.03081232,85.95903361,85.95903361,85.95903361,3.45E-09,1.19E-17,
17.25490196,85.93382353,85.93382353,85.93382353,5.88E-10,3.46E-19,
17.4789916,85.90861345,85.90861345,85.90861345,4.62E-09,2.14E-17,
